mechanism	part_id	param_name	value	units	comments
transport_secondaryactive_antiporter		kb_subMC	1E-01		Inner substrate binding rate - currently arbitary value
transport_secondaryactive_antiporter		ku_subMC	1E-01		Inner substrate unbinding rate - currently arbitary value
transport_secondaryactive_antiporter		kf_ionX	1E-01		Forward rate of ion-bound carrier conformational flip - currently arbitary value
transport_secondaryactive_antiporter		kr_ionX	1E-01		Reverse rate of ion-bound carrier conformational flip - currently arbitary value
transport_secondaryactive_antiporter		kf_trnspMC	1E-01		Forward rate of substrate-bound carrier translocation - currently arbitary value
transport_secondaryactive_antiporter		kr_trnspMC	1E-01		Reverse rate of substrate-bound carrier translocation - currently arbitary value
transport_secondaryactive_antiporter		kb_prodMC	1E-01		Outer substrate reverse binding rate - currently arbitary value
transport_secondaryactive_antiporter		ku_prodMC	1E-01		Outer substrate release rate - currently arbitary value
transport_secondaryactive_antiporter		kb_ionMC_in	1E-01		Inner driving ion reverse binding rate - currently arbitary value
transport_secondaryactive_antiporter		ku_ionMC_in	1E-01		Inner driving ion release rate - currently arbitary value
transport_secondaryactive_antiporter		k_out	1E-03		Rate of carrier resetting from inner to outer conformation - currently arbitary value
transport_secondaryactive_antiporter		k_in	1E-01		Rate of carrier changing from outer to inner conformation - currently arbitary value
transport_primaryactive_abcexporter		kb_subMP	1E-01		Forward binding rate for substrate to membrane pump ('MP') - currently arbitary value
transport_primaryactive_abcexporter		ku_subMP	1E-01		Unbinding rate for substrate from pump complex ('MP:sub') - currently arbitary value
transport_primaryactive_abcexporter		kb_subMPnATP	1E-01		Forward binding rate for ATP to substrate:pump complex - currently arbitary value
transport_primaryactive_abcexporter		ku_subMPnATP	1E-02		Unbinding rate for ATP from substrate:pump complex - currently arbitary value
transport_primaryactive_abcexporter		kf_trnspMP	1E-02		Forward conformational change rate (transport step) - currently arbitary value
transport_primaryactive_abcexporter		kr_trnspMP	1E-02		Reverse conformational change rate - currently arbitary value
transport_primaryactive_abcexporter		ku_prodMP	1E-01		Unbinding rate for product from pump complex ('MP:prod:ATP') - currently arbitary value
transport_primaryactive_abcexporter		kb_prodMP	1E-01		Binding rate for product to pump complex ('MP:ATP') - currently arbitary value
transport_primaryactive_abcexporter		ku_MP	1E-01		Unbinding/hydrolysis rate for ATP/ADP steps ('MP:ATP', 'MP:ADP') - currently arbitary value
transport_primaryactive_abcexporter		kb_MP	1E-01		Binding rate for ADP to membrane pump - currently arbitary value
sensor_two_component_system		kb_sigMS	2E-03		Forward binding rate for signal substrate to membrane sensor protein - currently arbitary value
sensor_two_component_system		ku_sigMS	2E-10		Reverse unbinding rate for signal substrate from membrane sensor protein - currently arbitary value
sensor_two_component_system		kb_autoPhos	2E-03		Forward binding rate for ATP to activated membrane sensor protein - currently arbitary value
sensor_two_component_system		ku_autoPhos	2E-10		Reverse unbinding rate for ATP from activated membrane sensor protein - currently arbitary value
sensor_two_component_system		k_hydro	1E-01		ATP hydrolysis rate constant - currently arbitary value
sensor_two_component_system		ku_waste	8E-01		Unbinding rate for ADP waste products - currently arbitary value
sensor_two_component_system		kb_phosRP	2E-03		Forward binding rate for response protein to phosphorylated membrane sensor - currently arbitary value
sensor_two_component_system		ku_phosRP	1E-10		Reverse unbinding rate for response protein from phosphorylated membrane sensor - currently arbitary value
sensor_two_component_system		k_phosph	1E-01		Phosphotransfer rate constant to response protein - currently arbitary value
sensor_two_component_system		ku_activeRP	2E-01		Unbinding rate for activated response protein - currently arbitary value
sensor_two_component_system		kb_dimerRP	2E-01		Binding rate for product formation from activated response protein - currently arbitary value
sensor_two_component_system		ku_dimerRP	2E-01		Unbinding rate of the product to the activated response protein - currently arbitary value
sensor_two_component_system		ku_dephos	2E-10		Dephosphorylation rate constant for phosphorylated response protein - currently arbitary value
